condition_name,agent_name,mean_reward,std_reward,ci95_reward,n_observations
high_congestion_linear_share_cb_transparent_ratio06_halt5,UCB_BaselineAgent_2,1502.8846966644574,13.190241923192277,4.720067452984719,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RiskAverseEpsilonGreedyAgent_2,1503.1710488658484,13.209237426063478,4.726864906388344,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RiskAverseUCBAgent_2,1502.8846966644574,13.190241923192277,4.720067452984719,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RandomAgent_1,6092.218122590635,138.15695656211474,49.43883196908333,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,EpsilonGreedyAgent_1,9770.315696189647,1882.2890096821077,673.5684715600075,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,UCB_BaselineAgent_1,6826.485176383642,831.5570524149587,297.56886956731665,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RiskAverseEpsilonGreedyAgent_1,8335.333798757598,800.5864617094373,286.48618601684973,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RiskAverseUCBAgent_1,4774.8025754702485,611.1703476286503,218.70450010466408,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RandomAgent_2,6084.005094190296,133.17541367325015,47.65620974029508,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,EpsilonGreedyAgent_2,9378.246023675283,1637.464498727411,585.9591454703697,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,UCB_BaselineAgent_2,6826.485176383642,831.5570524149587,297.56886956731665,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RiskAverseEpsilonGreedyAgent_2,8523.133587683582,936.2171711866181,335.0210120766231,30
high_congestion_linear_share_cb_opaque_ratio08_halt3,RiskAverseUCBAgent_2,4774.8025754702485,611.1703476286503,218.70450010466408,30
high_congestion_linear_share_cb_transparent_ratio08_halt3,RandomAgent_1,6094.192427447271,130.14456899145128,46.57163589995808,30
high_congestion_linear_share_cb_transparent_ratio08_halt3,EpsilonGreedyAgent_1,9469.68064821501,1802.6488115769,645.069592675558,30
high_congestion_linear_share_cb_transparent_ratio08_halt3,UCB_BaselineAgent_1,6849.886186137463,833.4276595741035,298.238257742349,30
high_congestion_linear_share_cb_transparent_ratio08_halt3,RiskAverseEpsilonGreedyAgent_1,8570.2501817377,867.2091060690076,310.32679311901865,30
