condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,9,10000,5,5,3,0.6,3,0.0,False,63438.73121379401,6.343873121379401,1.2687746242758802,2.651831277029464,8920,0.892,718,304,0,4.9088,0.13607550164058457,8655.816689104908,RandomAgent_1,14881.419438803357,EpsilonGreedyAgent_1,17095.60025363044,UCB_BaselineAgent_1,12626.051197798935,RiskAverseEpsilonGreedyAgent_1,10179.84363445637,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,10,10000,5,5,3,0.6,3,0.0,False,64154.634192498925,6.4154634192498925,1.2830926838499785,2.6253860179980157,8788,0.8788,604,265,0,4.9205,0.13624118903045712,8570.60443336185,RandomAgent_1,15068.743804467575,EpsilonGreedyAgent_1,17195.477312764946,UCB_BaselineAgent_1,10467.230452773572,RiskAverseEpsilonGreedyAgent_1,12852.578189130982,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,11,10000,5,5,3,0.6,3,0.0,False,64311.50795464743,6.431150795464743,1.2862301590929486,2.7138225652613195,8781,0.8781,635,270,0,4.919,0.13855326897971376,8586.999345550357,RandomAgent_1,12673.68885175745,EpsilonGreedyAgent_1,15436.397372806194,UCB_BaselineAgent_1,10404.939766814734,RiskAverseEpsilonGreedyAgent_1,17209.482617718695,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,12,10000,5,5,3,0.6,3,0.0,False,62319.939312463684,6.231993931246368,1.2463987862492736,2.567559016530437,8965,0.8965,804,351,0,4.8947,0.13158040390279813,8775.695335419497,RandomAgent_1,14371.25483981445,EpsilonGreedyAgent_1,16975.110249310543,UCB_BaselineAgent_1,10269.877702766971,RiskAverseEpsilonGreedyAgent_1,11928.001185152221,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,13,10000,5,5,3,0.6,3,0.0,False,64088.17142908025,6.408817142908025,1.2817634285816049,2.6831219364531957,8832,0.8832,697,297,0,4.9109,0.13146681401048976,8607.976142702235,RandomAgent_1,16522.641459837472,EpsilonGreedyAgent_1,15698.923212534815,UCB_BaselineAgent_1,10464.584562957085,RiskAverseEpsilonGreedyAgent_1,12794.046051048643,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,14,10000,5,5,3,0.6,3,0.0,False,64028.573845207946,6.402857384520795,1.280571476904159,2.658297097762373,8896,0.8896,719,308,0,4.9076,0.1319914292076576,8589.273572632195,RandomAgent_1,16540.472745643674,EpsilonGreedyAgent_1,15587.929895373965,UCB_BaselineAgent_1,10362.270811504342,RiskAverseEpsilonGreedyAgent_1,12948.62682005377,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,15,10000,5,5,3,0.6,3,0.0,False,63767.02375030308,6.376702375030308,1.2753404750060615,2.662755801042244,8874,0.8874,673,305,0,4.9085,0.1356985637245527,8629.693980353803,RandomAgent_1,12746.696903147173,EpsilonGreedyAgent_1,15372.638746565206,UCB_BaselineAgent_1,16845.8257247144,RiskAverseEpsilonGreedyAgent_1,10172.168395522503,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,16,10000,5,5,3,0.6,3,0.0,False,63610.602809027456,6.361060280902746,1.2722120561805492,2.6478684481374923,8920,0.892,733,328,0,4.9016,0.13721040340879842,8521.83333543372,RandomAgent_1,16777.679757292462,EpsilonGreedyAgent_1,15497.38056437535,UCB_BaselineAgent_1,12624.726925091829,RiskAverseEpsilonGreedyAgent_1,10188.982226834096,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,17,10000,5,5,3,0.6,3,0.0,False,64063.98666555533,6.406398666555533,1.2812797333111066,2.6356885139010218,8942,0.8942,684,304,0,4.9088,0.13589564133434684,8712.257833306521,RandomAgent_1,15036.373740561468,EpsilonGreedyAgent_1,17235.846831318442,UCB_BaselineAgent_1,12760.997909660246,RiskAverseEpsilonGreedyAgent_1,10318.51035070865,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,18,10000,5,5,3,0.6,3,0.0,False,63748.667927430535,6.374866792743053,1.2749733585486107,2.6625058846395886,8846,0.8846,733,326,0,4.9022,0.13811417063018738,8530.688319066174,RandomAgent_1,15269.722794537234,EpsilonGreedyAgent_1,17038.52047538039,UCB_BaselineAgent_1,12635.835230221792,RiskAverseEpsilonGreedyAgent_1,10273.90110822495,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,19,10000,5,5,3,0.6,3,0.0,False,63503.483550423436,6.350348355042343,1.2700696710084687,2.6902630048074956,8875,0.8875,796,349,0,4.8953,0.1331778838734441,8604.620923234108,RandomAgent_1,15281.363270505099,EpsilonGreedyAgent_1,12655.957155281441,UCB_BaselineAgent_1,16677.523223986514,RiskAverseEpsilonGreedyAgent_1,10284.018977416272,RiskAverseUCBAgent_1,,,,,,,,,,
